,title,year,duration,rating
0, The Shawshank Redemption,1994,142,9.3
1, The Godfather,1972,175,9.2
2, The Dark Knight,2008,152,9.0
3, The Godfather Part II,1974,202,9.0
4, 12 Angry Men,1957,96,9.0
5, Schindler's List,1993,195,9.0
6, The Lord of the Rings: The Return of the King,2003,201,9.0
7, Pulp Fiction,1994,154,8.9
8, The Lord of the Rings: The Fellowship of the Ring,2001,178,8.9
9,"The Good, the Bad and the Ugly",1966,178,8.8
10,Forrest Gump,1994,142,8.8
11,The Lord of the Rings: The Two Towers,2002,179,8.8
12,Fight Club,1999,139,8.8
13,Inception,2010,148,8.8
14,Dune: Part Two,2024,166,8.8
15,Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7
16,The Matrix,1999,136,8.7
17,Goodfellas,1990,145,8.7
18,One Flew Over the Cuckoo's Nest,1975,133,8.7
19,Se7en,1995,127,8.6
20,Interstellar,2014,169,8.7
21,It's a Wonderful Life,1946,130,8.6
22,Seven Samurai,1954,207,8.6
23,The Silence of the Lambs,1991,118,8.6
24,Saving Private Ryan,1998,169,8.6
25,City of God,2002,130,8.6
26,Life Is Beautiful,1997,116,8.6
27,The Green Mile,1999,189,8.6
28,Terminator 2: Judgment Day,1991,137,8.6
29,Star Wars: Episode IV - A New Hope,1977,121,8.6
30,Back to the Future,1985,116,8.5
31,Spirited Away,2001,125,8.6
32,The Pianist,2002,150,8.5
33,Parasite,2019,132,8.5
34,Psycho,1960,109,8.5
35,Spider-Man: Across the Spider-Verse,2023,140,8.6
36,Gladiator,2000,155,8.5
37,The Lion King,1994,88,8.5
38,Léon: The Professional,1994,110,8.5
39,The Departed,2006,151,8.5
40,American History X,1998,119,8.5
41,Whiplash,2014,106,8.5
42,The Prestige,2006,130,8.5
43,Grave of the Fireflies,1988,89,8.5
44,Harakiri,1962,133,8.6
45,The Usual Suspects,1995,106,8.5
46,Casablanca,1942,102,8.5
47,The Intouchables,2011,112,8.5
48,Cinema Paradiso,1988,174,8.5
49,Modern Times,1936,87,8.5
50,Rear Window,1954,112,8.5
51,Once Upon a Time in the West,1968,166,8.5
52,Alien,1979,117,8.5
53,City Lights,1931,87,8.5
54,Apocalypse Now,1979,147,8.4
55,Django Unchained,2012,165,8.5
56,12th Fail,2023,147,9.0
57,Memento,2000,113,8.4
58,WALL·E,2008,98,8.4
59,Raiders of the Lost Ark,1981,115,8.4
60,The Lives of Others,2006,137,8.4
61,Sunset Blvd.,1950,110,8.4
62,Paths of Glory,1957,88,8.4
63,Avengers: Infinity War,2018,149,8.4
64,Spider-Man: Into the Spider-Verse,2018,117,8.4
65,The Shining,1980,146,8.4
66,Witness for the Prosecution,1957,116,8.4
67,The Great Dictator,1940,125,8.4
68,Aliens,1986,137,8.4
69,Inglourious Basterds,2009,153,8.4
70,The Dark Knight Rises,2012,164,8.4
71,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,8.4
72,American Beauty,1999,122,8.3
73,Oldboy,2003,120,8.3
74,Coco,2017,105,8.4
75,Amadeus,1984,160,8.4
76,Toy Story,1995,81,8.3
77,Das Boot,1981,149,8.4
78,Braveheart,1995,178,8.3
79,Avengers: Endgame,2019,181,8.4
80,Joker,2019,122,8.4
81,Princess Mononoke,1997,134,8.3
82,Good Will Hunting,1997,126,8.3
83,Your Name.,2016,106,8.4
84,Once Upon a Time in America,1984,229,8.3
85,High and Low,1963,143,8.4
86,3 Idiots,2009,170,8.4
87,Singin' in the Rain,1952,103,8.3
88,Oppenheimer,2023,180,8.3
89,Capernaum,2018,126,8.4
90,Requiem for a Dream,2000,102,8.3
91,Come and See,1985,142,8.4
92,Toy Story 3,2010,103,8.3
93,Star Wars: Episode VI - Return of the Jedi,1983,131,8.3
94,Eternal Sunshine of the Spotless Mind,2004,108,8.3
95,The Hunt,2012,115,8.3
96,2001: A Space Odyssey,1968,149,8.3
97,Reservoir Dogs,1992,99,8.3
98,Ikiru,1952,143,8.3
99, Lawrence of Arabia,1962,218,8.3
100, The Apartment,1960,125,8.3
101, North by Northwest,1959,136,8.3
102, Citizen Kane,1941,119,8.3
103, Vertigo,1958,128,8.3
104, M,1931,99,8.3
105, Incendies,2010,131,8.3
106, Double Indemnity,1944,107,8.3
107, Scarface,1983,170,8.3
108, Amélie,2001,122,8.3
109, Full Metal Jacket,1987,116,8.3
110, A Clockwork Orange,1971,136,8.3
111, Heat,1995,170,8.3
112, Up,2009,96,8.3
113, To Kill a Mockingbird,1962,129,8.3
114, The Sting,1973,129,8.3
115, A Separation,2011,123,8.3
116, Indiana Jones and the Last Crusade,1989,127,8.2
117, Die Hard,1988,132,8.2
118, Metropolis,1927,153,8.3
119, Like Stars on Earth,2007,162,8.3
120, Hamilton,2020,160,8.3
121, Snatch,2000,102,8.2
122, L.A. Confidential,1997,138,8.2
123, Bicycle Thieves,1948,89,8.3
124, 1917,2019,119,8.2
125, Taxi Driver,1976,114,8.2
126, Downfall,2004,156,8.2
127, Dangal,2016,161,8.3
128, For a Few Dollars More,1965,132,8.2
129, Batman Begins,2005,140,8.2
130, The Wolf of Wall Street,2013,180,8.2
131, Some Like It Hot,1959,121,8.2
132, The Kid,1921,68,8.2
133, Green Book,2018,130,8.2
134, The Father,2020,97,8.2
135, Judgment at Nuremberg,1961,179,8.3
136, All About Eve,1950,138,8.2
137, Top Gun: Maverick,2022,130,8.2
138, The Truman Show,1998,103,8.2
139, Shutter Island,2010,138,8.2
140, There Will Be Blood,2007,158,8.2
141, Casino,1995,178,8.2
142, Ran,1985,160,8.2
143, Jurassic Park,1993,127,8.2
144, The Sixth Sense,1999,107,8.2
145, Pan's Labyrinth,2006,118,8.2
146, Unforgiven,1992,130,8.2
147, No Country for Old Men,2007,122,8.2
148, A Beautiful Mind,2001,135,8.2
149, The Thing,1982,109,8.2
150, The Treasure of the Sierra Madre,1948,126,8.2
