title,year,duration
 The Shawshank Redemption,1994,2h 22m
 The Godfather,1972,2h 55m
 The Dark Knight,2008,2h 32m
 The Godfather Part II,1974,3h 22m
 12 Angry Men,1957,1h 36m
 Schindler's List,1993,3h 15m
 The Lord of the Rings: The Return of the King,2003,3h 21m
 Pulp Fiction,1994,2h 34m
 The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m
". The Good, the Bad and the Ugly",1966,2h 58m
. Forrest Gump,1994,2h 22m
. The Lord of the Rings: The Two Towers,2002,2h 59m
. Fight Club,1999,2h 19m
. Inception,2010,2h 28m
. Dune: Part Two,2024,2h 46m
. Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m
. The Matrix,1999,2h 16m
. Goodfellas,1990,2h 25m
. One Flew Over the Cuckoo's Nest,1975,2h 13m
. Se7en,1995,2h 7m
. Interstellar,2014,2h 49m
. It's a Wonderful Life,1946,2h 10m
. Seven Samurai,1954,3h 27m
. The Silence of the Lambs,1991,1h 58m
. Saving Private Ryan,1998,2h 49m
. City of God,2002,2h 10m
. Life Is Beautiful,1997,1h 56m
. The Green Mile,1999,3h 9m
. Terminator 2: Judgment Day,1991,2h 17m
. Star Wars: Episode IV - A New Hope,1977,2h 1m
. Back to the Future,1985,1h 56m
. Spirited Away,2001,2h 5m
. The Pianist,2002,2h 30m
. Parasite,2019,2h 12m
. Psycho,1960,1h 49m
. Spider-Man: Across the Spider-Verse,2023,2h 20m
. Gladiator,2000,2h 35m
. The Lion King,1994,1h 28m
. Léon: The Professional,1994,1h 50m
. The Departed,2006,2h 31m
. American History X,1998,1h 59m
. Whiplash,2014,1h 46m
. The Prestige,2006,2h 10m
. Grave of the Fireflies,1988,1h 29m
. Harakiri,1962,2h 13m
. The Usual Suspects,1995,1h 46m
. Casablanca,1942,1h 42m
. The Intouchables,2011,1h 52m
. Cinema Paradiso,1988,2h 54m
. Modern Times,1936,1h 27m
. Rear Window,1954,1h 52m
. Once Upon a Time in the West,1968,2h 46m
. Alien,1979,1h 57m
. City Lights,1931,1h 27m
